iter	Passed	Remaining
0	281	281225
1	378	188636
2	462	153652
3	546	135961
4	637	126920
5	725	120243
6	806	114340
7	884	109642
8	975	107418
9	1061	105081010	1143	102811	11	1230	101313112	1327	100781313	1403	98831414	1484	97471515	1561	96001616	1658	95926
17	1738	94861818	1836	94811919	1922	94202020	1998	93162121	2087	92792222	2169	92162323	2261	91952424	2332	90972525	2416	90522626	2493	89842727	2572	89302828	2654	88892929	2734	88413030	2810	87863131	2894	87563232	2972	87113333	3050	86673434	3126	862035	3218	86136	36	3307	86082
37	3384	85674
3838	3460	852639	3556	85344
40	3649	85357
41	3728	85051
42	3821	85050
43	3894	84624
44	3979	84458
4545	4057	84154646	4167	84514747	4252	84334848	4345	843449	4446	84474
50	4534	84372
51	4609	84036
52	4706	84100
53	4782	83779
54	4866	83611
55	4947	83405
56	5026	83159
57	5100	82840
58	5186	82725
59	5273	82625
60	5346	82303
61	5432	82183
62	5513	82003
63	5588	81731
64	5649	81260
65	5727	81045
66	5808	80883
67	5892	80757
68	5988	80797
69	6083	80821
70	6178	80838
71	6272	80848
72	6364	80819
73	6446	80669
74	6530	80539
75	6623	80523
76	6692	80221
77	6782	80175
78	6864	80023
79	6948	79910
80	7027	79733
81	7116	79665
82	7198	79530
8383	7259	791684	7376	79408
85	7457	79252
86	7534	79068
8787	7592	78688888	7668	78498989	7752	78389090	7837	78289191	7926	78239292	8009	78109393	8103	78109494	8190	78029595	8265	77829696	8352	77759797	8429	77589898	8508	77439999	8587	772910100	8671	7718101	8774	77251
102	8857	77140
103	8940	77022
104	9020	76887
105	9119	76916
106	9220	76952
107	9312	76911
108	9406	76889
109	9497	76845
110	9581	76739
111	9659	76582
112	9747	76513
113	9829	76397
114	9912	76281
115	9990	76137
116	10076	76043
117	10160	75948
118	10238	75798
119	10316	75652
120	10388	75469
121	10472	75365
122	10550	75228
123	10638	75153
124	10716	75016
125	10795	74883
126	10862	74672
127	10942	74547
128	11027	74456
129	11099	742713130	11184	741913131	11272	74126
132	11357	74038
133	11442	73950
134	11518	738013135	11606	737313136	11684	736013137	11762	7347131138	11813	73113139	11929	732814140	12021	732314141	12120	732314142	12226	732714143	12322	732414144	12412	731914145	12508	73163
146	12596	73092
147	12668	72928
148	12750	72824
149	12833	72723
150	12918	72635
151	12998	72519
152	13070	72356
153	13146	722215154	13227	721115155	13306	71990
156	13392	71912
157	13470	71784
1158	13504	71427159	13623	715216160	13708	714316161	13797	71370
162	13877	71262
163	13972	71225
164	14063	71168
165	14141	71045
166	14220	70930
167	14303	70835
168	14385	70735
169	14477	70685
1170	14513	70358171	14660	70573
172	14749	70509
173	14826	70385
174	14911	70298
175	14996	70212
176	15084	70139
177	15172	70065
178	15264	70010
179	15365	69996
180	15457	69943
181	15549	69886
1182	15586	69586183	15705	69649
184	15786	69544
1185	15818	692281186	15904	691451187	15990	690661188	16084	690181189	16219	691441190	16298	690321191	16381	689381192	16468	688591193	16546	687451194	16626	686351195	16701	685091196	16782	684091197	16880	683751198	16957	682541199	17037	681512200	17124	680702201	17206	67973
202	17284	67861
203	17359	67734
204	17439	676302205	17534	67582
206	17608	674572207	17687	673492208	17767	672442209	17865	672082210	18067	67559
211	18147	67453
212	18228	673522213	18313	672622214	18386	671312215	18472	670482216	18557	669592217	18638	668572218	18724	667762219	18795	666372220	18878	665462221	18959	664442222	19038	663352223	19120	662392224	19207	661572225	19277	660222226	19373	659712227	19466	65914
228	19549	65820
229	19635	65735
230	19725	65665
231	19808	65571
232	19888	65468
233	19970	65372
234	20064	65315
235	20152	65239
236	20235	65145
237	20333	65100
238	20410	64988
239	20492	64892
240	20565	64769
241	20649	64678
242	20754	64654
243	20846	64589
244	20936	64518
245	21036	64479
246	21125	64403
247	21204	64296
248	21283	64192
249	21366	64098
250	21446	63999
251	21535	63922
252	21613	63814
253	21694	63716
254	21767	63594
255	21846	63492
256	21924	633852257	22002	632782258	22084	631822259	22157	630632260	22252	630062261	22331	629022262	22419	628262263	22503	627382264	22593	626652265	22678	625772266	22767	625032267	22844	623962268	27267	74097
269	28102	75979
270	28273	76056
271	28346	758672272	28441	75727273	28656	759227274	28791	759027275	28949	759327276	29118	760027277	29240	7594278	29312	75750
279	29437	75695
280	29682	75948
281	30243	77003
28282	30645	776428283	30902	779028284	31127	780928285	31287	7810286	31401	78011
287	31544	77984
288	31675	77927
289	31812	77884
290	31925	77783
291	32044	77695
292	32157	77595
293	32281	77520
294	32394	77418
295	32502	77302
296	32625	77224
297	32730	77104
298	32839	76992
29299	33023	770530300	33111	768930301	33206	767430302	33297	7659303	33320	76286
304	33405	76121
30305	33578	761530306	33670	760030307	33767	758630308	33866	757330309	33954	755731310	34033	754031311	34134	752731312	34226	751231313	34316	7497314	34341	74679
31315	34527	747331316	34619	745931317	34729	744831318	34823	743431319	34920	742032320	35004	740432321	35088	738832322	35177	737332323	35267	735832324	35355	734332325	35440	732732326	35532	731232327	35637	730132328	35714	728432329	35799	726833330	35900	725633331	35998	724333332	36090	722933333	36218	722233334	36335	721233335	36475	720833336	36578	719633337	36667	718133338	36752	7166339	36789	71415
340	36914	71339
341	37018	71222
342	37131	71123
343	37222	70981
344	37323	70861
345	37427	70744
346	37525	70616
347	37617	70479
348	37714	70349
349	37793	70187
350	37890	70060
351	37977	69912
352	38082	69799
353	38188	69688
354	38318	69621
355	38430	69521
356	38535	69407
357	38637	69288
358	38750	69189
35359	38949	692436360	39059	6913361	39072	68863
362	39166	68730
363	39265	68607
364	39358	68473
365	39487	68401
366	39622	68340
367	39815	68379
368	39952	68319
369	40062	68214
370	40183	68128
371	40297	68028
372	40399	67910
373	40495	67780
374	40609	67682
375	40744	67619
376	40866	67532
377	40978	67430
378	41082	67315
379	41186	67199
