,IV,MI,KS,Spearman_abs,in_shortlist
GenHlth,0.7905173231900043,0.0441,0.3689,0.288,True
HighBP,0.6095211573328008,0.0351,0.3765,0.2634,True
BMI,0.46938329670823875,0.0285,0.2831,0.2284,True
Age,0.39695314772721174,0.0203,0.2289,0.1775,True
HighChol,0.33891499017165744,0.02,0.2865,0.2007,True
DiffWalk,0.3170033669823242,0.0202,0.2374,0.2198,True
Income,0.22810350269522586,0.0136,0.204,0.1639,True
PhysHlth,0.21936066569786317,0.0141,0.1988,0.1581,True
HeartDiseaseorAttack,0.19393946986600963,0.0126,0.1502,0.178,True
Education,0.12259643163485322,0.0075,0.1477,0.1189,True
PhysActivity,0.10405981767748208,0.0064,0.1461,0.1179,True
MentHlth,0.040171407681818115,0.0026,0.0642,0.0411,True
HvyAlcoholConsump,0.03792585624802883,0.002,0.0378,0.057,True
Smoker,0.03115391402119278,0.0019,0.088,0.0614,True
Veggies,0.023403212617993382,0.0014,0.0622,0.0551,True
Fruits,0.015411646949289657,0.0009,0.0604,0.0435,True
NoDocbcCost,0.007991556986049123,0.0005,0.026,0.0324,False
Sex,0.007948108358545427,0.0005,0.0444,0.031,False
CholCheck,0.0,0.0031,0.0359,0.0654,True
Stroke,0.0,0.0045,0.0605,0.1063,True
AnyHealthcare,0.0,0.0001,0.0099,0.0159,False
