Feature,IV_neu,MI_neu,Bestes_Einzelfeat,IV_alt,MI_alt,behalten
cardio_comorbidity,,0.0556,HighBP,0.6095,0.0351,True
allostatic_load,,0.0491,HighBP,0.6095,0.0351,True
healthy_lifestyle,,0.0056,PhysActivity,0.1041,0.0064,False
metsyn_proxy,,0.0585,HighBP,0.6095,0.0351,True
ses_index,,0.0147,Income,0.2281,0.0136,True
mental_physical_burden,,0.0106,PhysHlth,0.2194,0.0141,False
findrisc_lite,,0.0398,BMI,0.4694,0.0285,True
ascvd_proxy,,0.0326,HighBP,0.6095,0.0351,False
BMI_x_Age,,0.0478,BMI,0.4694,0.0285,True
BMI_x_HighBP,,0.0454,HighBP,0.6095,0.0351,True
Age_x_GenHlth,,0.06,GenHlth,0.7905,0.0441,True
HighBP_x_HighChol,,0.0314,HighBP,0.6095,0.0351,False
BMI_squared,,0.0276,BMI,0.4694,0.0285,False
BMI_yj,,0.0272,BMI,0.4694,0.0285,False
MentHlth_log,,0.0032,MentHlth_days,,0.0026,True
PhysHlth_log,,0.0147,PhysHlth_days,,0.0141,True
