Modell,Variante,mean PR-AUC,std PR-AUC,Zeit (s)
LightGBM,raw21,0.4353,0.0078,6.6
LightGBM,enriched30,0.4327,0.0067,5.9
LightGBM,nohurdle26,0.4327,0.0067,4.0
LightGBM,bmi_capped,0.4321,0.0066,4.5
LightGBM,bmi_categorical,0.4298,0.0063,4.7
MLP,raw21,0.4324,0.0066,25.1
MLP,enriched30,0.4295,0.007,17.3
MLP,nohurdle26,0.4293,0.0067,17.3
MLP,bmi_capped,0.429,0.0061,20.6
MLP,bmi_categorical,0.427,0.006,23.5
LogReg,raw21,0.406,0.0041,4.6
LogReg,enriched30,0.4181,0.0052,72.8
LogReg,nohurdle26,0.4177,0.0052,59.9
LogReg,bmi_capped,0.4216,0.0055,50.5
LogReg,bmi_categorical,0.4196,0.0056,55.2
CatBoost,raw21,0.4303,0.0058,127.9
CatBoost,enriched30,0.4267,0.0054,143.6
CatBoost,nohurdle26,0.4269,0.0061,145.7
CatBoost,bmi_capped,0.4257,0.0048,154.8
CatBoost,bmi_categorical,0.4234,0.0062,155.5
