Gruppe,n,Prävalenz,PR-AUC,Recall,Precision,F1,Pos-Rate
18–24,1207,0.012,0.049,0.0,0.0,0.0,0.002
25–29,1525,0.019,0.276,0.31,0.375,0.34,0.016
30–34,2242,0.027,0.211,0.333,0.235,0.276,0.038
35–39,2775,0.056,0.351,0.445,0.33,0.379,0.075
40–44,3213,0.063,0.317,0.552,0.233,0.327,0.148
45–49,3887,0.085,0.361,0.656,0.268,0.38,0.209
50–54,5206,0.116,0.399,0.716,0.294,0.417,0.283
55–59,6055,0.134,0.41,0.799,0.299,0.435,0.358
60–64,6707,0.178,0.483,0.852,0.335,0.481,0.452
65–69,6515,0.202,0.468,0.856,0.331,0.477,0.523
70–74,4744,0.211,0.442,0.87,0.305,0.452,0.602
75–79,3255,0.217,0.416,0.86,0.301,0.446,0.62
80+,3405,0.189,0.335,0.821,0.265,0.4,0.586
