feature,feature_type,OR,ci_low,ci_high,p_value
CholCheck,binary,3.4286,2.9548,3.9784,0.0
HighBP,binary,2.138,2.0699,2.2083,0.0
HighChol,binary,1.7827,1.7304,1.8367,0.0
GenHlth,ordinal,1.7153,1.6849,1.7462,0.0
Sex,binary,1.2938,1.2561,1.3325,0.0
HeartDiseaseorAttack,binary,1.2494,1.2016,1.2991,0.0
DiffWalk,binary,1.1327,1.0913,1.1756,0.0
Stroke,binary,1.1325,1.0718,1.1967,0.0
Age,ordinal,1.1321,1.1252,1.1391,0.0
AnyHealthcare,binary,1.0953,1.0176,1.179,0.0153
BMI,numeric,1.0628,1.0607,1.0649,0.0
NoDocbcCost,binary,1.0192,0.9691,1.072,0.4593
MentHlth,count,0.9963,0.9944,0.9982,0.0001
PhysHlth,count,0.9926,0.9909,0.9943,0.0
Smoker,binary,0.9912,0.9629,1.0203,0.5499
Veggies,binary,0.9747,0.9412,1.0093,0.1498
Education,ordinal,0.9697,0.955,0.9846,0.0001
Fruits,binary,0.9549,0.9267,0.9841,0.0026
Income,ordinal,0.9501,0.9427,0.9576,0.0
PhysActivity,binary,0.945,0.9156,0.9754,0.0005
HvyAlcoholConsump,binary,0.4723,0.4342,0.5137,0.0
