feature,VIF,collinearity
GenHlth,1.8,uncritical (<5)
PhysHlth,1.63,uncritical (<5)
DiffWalk,1.54,uncritical (<5)
Income,1.51,uncritical (<5)
Age,1.35,uncritical (<5)
HighBP,1.33,uncritical (<5)
Education,1.33,uncritical (<5)
MentHlth,1.24,uncritical (<5)
HighChol,1.17,uncritical (<5)
HeartDiseaseorAttack,1.17,uncritical (<5)
PhysActivity,1.16,uncritical (<5)
NoDocbcCost,1.15,uncritical (<5)
BMI,1.14,uncritical (<5)
Fruits,1.11,uncritical (<5)
AnyHealthcare,1.11,uncritical (<5)
Veggies,1.11,uncritical (<5)
Smoker,1.09,uncritical (<5)
Sex,1.08,uncritical (<5)
Stroke,1.08,uncritical (<5)
CholCheck,1.03,uncritical (<5)
HvyAlcoholConsump,1.02,uncritical (<5)
