model,imbalance,pr_auc,pr_std,roc_auc,brier,fit_time
MLP,none,0.43089578637261805,0.008813964054710206,0.8293949501718221,0.09684638750614548,39.41024923324585
LightGBM,native,0.4304965800036838,0.008416912847735894,0.827835914380508,0.17110172699254006,6.0814900398254395
SVM-Nystroem,none,0.42215580519965823,0.007444558246320672,0.8260952007596074,0.09861143416523632,181.84310936927795
LogReg-L2,native,0.4189460825363283,0.007487565755003087,0.8256828402721347,0.1754777247897513,1.0831019878387451
LogReg-EN,native,0.41894008573307656,0.007486971855702474,0.8256829455134186,0.17546748988972607,6.651129722595215
LDA,none,0.4137259164146617,0.009304641682235543,0.8217368876050852,0.09951172241455665,1.16860032081604
XGBoost,native,0.4020563443820807,0.004170664383449166,0.8103892245389133,0.16501442193984986,10.610978841781616
RandomForest,native,0.3878687084900135,0.004443306536487775,0.8041464592355976,0.10126850712393912,76.90143370628357
DecisionTree,native,0.3875987142836511,0.007082123161199929,0.8121140106749483,0.1841011297735918,1.6996922492980957
KNN,none,0.3698030979264568,0.0066552207737962605,0.797759478463964,0.10162050216300658,0.0905754566192627
GaussianNB,none,0.3373664153687322,0.0063479922808190705,0.7867146190285758,0.19276578818310508,0.2809572219848633
— no-skill floor —,,0.13932976254416266,,0.5,,
