strategy,pr_auc,delta_vs_none,sign,2SE,brier
native,0.4304965800036838,0.00021861283531046105,2/5,0.0013781061865468518,0.17110172699254006
none,0.4302779671683732,0.0,0/5,0.0,0.09690455098250014
ADASYN,0.4294229093087621,-0.0008550578596112302,2/5,0.0014982127316263542,0.09712294329321498
RandomOver,0.4290541243013485,-0.001223842867024727,0/5,0.0018583730733554842,0.17026305964606575
Borderline,0.4283711795156851,-0.0019067876526881688,1/5,0.002203289177763143,0.09734522730598454
SMOTETomek,0.4280982201039728,-0.0021797470644004504,0/5,0.0014122978566288393,0.09726266242898747
SMOTE,0.4275580085956773,-0.002719958572695935,0/5,0.0009258608765085423,0.09729330046650571
SMOTEENN,0.4215647296635433,-0.008713237504829986,0/5,0.0026856716658063646,0.14886776559394707
RandomUnder,0.41764633711610816,-0.012631630052265152,0/5,0.0029971068349561214,0.17878544062373986
SMOTENC,0.4106095924117791,-0.019668374756594154,0/5,0.005952620124293172,0.10348866161191077
