model,feature_set,imbalance,pr_auc_mean,pr_auc_std,roc_auc_mean,brier_mean,fit_time,exploratory
MLP,fullpool_L1,none,0.4309602138972143,0.007716653369675085,0.829222984976202,0.09693221878165677,41.4376380443573,True
MLP,headline_pool,none,0.43089578637261805,0.008813964054710206,0.8293949501718221,0.09684638750614548,39.41024923324585,False
LightGBM,headline_pool,native,0.4304965800036838,0.008416912847735894,0.827835914380508,0.17110172699254006,7.070796728134155,False
LightGBM,raw21,native,0.4304965800036838,0.008416912847735894,0.827835914380508,0.17110172699254006,10.55686330795288,False
LightGBM,headline_pool,none,0.4302779671683732,0.008107509815497797,0.8284996521983992,0.09690455098250014,7.066790819168091,False
LightGBM,raw21,none,0.4302779671683732,0.008107509815497797,0.8284996521983992,0.09690455098250014,9.619400024414062,False
MLP,raw21,none,0.43007688805294536,0.009152123488605968,0.8290841747937782,0.09689749826081423,38.437812089920044,False
LightGBM,fullpool_L1,none,0.42929548569766746,0.007208192987245195,0.8282208605215364,0.09698854786408237,8.835436582565308,True
LightGBM,fullpool_L1,native,0.42917142439948897,0.008048474321014713,0.8274727986100917,0.17060993308771508,8.836461305618286,True
MLP,fullpool_EN,none,0.42596634263877986,0.0086948063264362,0.8268865886457192,0.09728291901564178,32.44090175628662,True
LightGBM,fullpool_EN,native,0.4235548852061511,0.006832160117096027,0.8238601907424448,0.175826637369014,6.420379400253296,True
LogReg-EN,fullpool_L1,none,0.4219636387486573,0.007957985383462911,0.8259300366883533,0.09768569212110856,153.0416226387024,True
LogReg-L2,fullpool_L1,none,0.42190767562644443,0.007682280173012082,0.8258821523870508,0.09770243502119605,4.346306085586548,True
LightGBM,fullpool_EN,none,0.4216170216630477,0.006721617899906883,0.8244477530834476,0.09766207730333974,6.356080055236816,True
LogReg-L2,headline_pool,none,0.4207876240529226,0.007734644394659057,0.8255314747460328,0.0978742490953052,1.1294236183166504,False
LogReg-EN,headline_pool,none,0.42078362205567676,0.007728421578393654,0.8255301413673128,0.09787368374716829,6.2761406898498535,False
LogReg-EN,fullpool_L1,native,0.4200415840995764,0.007573131185619792,0.8261357510783653,0.17582125070739985,106.10422325134277,True
LogReg-L2,fullpool_L1,native,0.4200255847883912,0.007562749592103667,0.8260867800567688,0.17586040183853519,6.35523247718811,True
LogReg-L2,fullpool_EN,none,0.41931928379550626,0.007215514719504054,0.8237466881828789,0.09805303758425979,1.6967885494232178,True
LogReg-EN,fullpool_EN,none,0.41928493395686195,0.007230581089352638,0.8237482523029067,0.09805436707773349,20.418927431106567,True
LogReg-L2,headline_pool,native,0.4189460825363283,0.007487565755003087,0.8256828402721347,0.1754777247897513,1.1468534469604492,False
LogReg-EN,headline_pool,native,0.41894008573307656,0.007486971855702474,0.8256829455134186,0.17546748988972607,6.651129722595215,False
LogReg-L2,fullpool_EN,native,0.41767852519311477,0.006933808899728761,0.824077937714058,0.1763178906848265,1.7053096294403076,True
LogReg-EN,fullpool_EN,native,0.41765551617710167,0.0069332256848549,0.8240809918355898,0.17632033015209958,13.633774042129517,True
LightGBM,raw21,SMOTENC,0.4106095924117791,0.004538718188204647,0.8191497242133241,0.10348866161191077,19.25556254386902,False
XGBoost,fullpool_EN,native,0.4081246878420929,0.006958872835873347,0.8143590277712354,0.17536409795284272,8.167619943618774,True
XGBoost,fullpool_EN,none,0.40789147199468906,0.0072250325572121386,0.8190165877026117,0.09898054599761963,7.942196607589722,True
LogReg-EN,raw21,none,0.4056321724506128,0.007969842254271308,0.8225475900049041,0.09898584429512151,8.225249528884888,False
LogReg-L2,raw21,none,0.40562974002918073,0.007973923402850348,0.822552928795198,0.0989860723632486,0.6225178241729736,False
XGBoost,headline_pool,none,0.4050827746378659,0.005071826318501485,0.8164309382884722,0.10003513842821121,11.100565433502197,False
XGBoost,raw21,none,0.4050827746378659,0.005071826318501485,0.8164309382884722,0.10003513842821121,13.904364824295044,False
LogReg-EN,raw21,native,0.40413117628741224,0.007567410949126006,0.8231092943281911,0.17662321698050415,8.600128889083862,False
LogReg-L2,raw21,native,0.4041273701823996,0.007567070194355227,0.823109103003264,0.17663991261257644,0.8310146331787109,False
XGBoost,fullpool_L1,none,0.4028494394759291,0.004393928096720753,0.8164137042155296,0.10012208372354507,13.19225025177002,True
XGBoost,raw21,native,0.4020563443820807,0.004170664383449166,0.8103892245389133,0.16501442193984986,13.868475675582886,False
XGBoost,headline_pool,native,0.4020563443820807,0.004170664383449166,0.8103892245389133,0.16501442193984986,10.986061334609985,False
XGBoost,fullpool_L1,native,0.4009755685193695,0.0042835493758983005,0.809981565010899,0.16450488865375518,13.401886701583862,True
MLP,raw21,SMOTENC,0.3950968455137064,0.007920161761909074,0.8066559299650458,0.16998295280445908,132.78380632400513,False
RandomForest,raw21,none,0.3947513910032444,0.0049939163169065584,0.8061443023278162,0.1009072237205487,82.73271775245667,False
RandomForest,headline_pool,none,0.3937460479646847,0.006280547706003542,0.805666720211476,0.10105069375052658,83.67076802253723,False
RandomForest,raw21,native,0.3880695335525906,0.004378446903248885,0.804581399008361,0.10115225146133215,83.26818823814392,False
RandomForest,headline_pool,native,0.3878687129337791,0.004443304716028809,0.8041464642975159,0.10126850712393912,84.87585067749023,False
LogReg-EN,raw21,SMOTENC,0.38777343583090723,0.0053409428528436095,0.8108110698892027,0.17387818298639324,13.151530265808105,False
LogReg-L2,raw21,SMOTENC,0.38776804317282415,0.005340978161496752,0.8108051241106133,0.1738564529261621,1.1904256343841553,False
XGBoost,raw21,SMOTENC,0.38634778133777287,0.003265205517004731,0.8043432704898503,0.10979382246732712,23.40512728691101,False
LogReg-L2,headline_pool,SMOTENC,0.3834443633478445,0.004019769564708347,0.802652019438953,0.1704361354802923,1.692809820175171,False
LogReg-EN,headline_pool,SMOTENC,0.3834397894326793,0.004013813925093789,0.8026668926803641,0.17043100771230515,11.345593452453613,False
RandomForest,fullpool_L1,none,0.3751585791931764,0.008229989674450456,0.7978557702924022,0.10348978520621901,114.2344617843628,True
MLP,headline_pool,SMOTENC,0.37408798986511477,0.005225933497398484,0.7958822731394202,0.16806788117944932,92.89966154098511,False
RandomForest,fullpool_L1,native,0.3678190408249515,0.010906661891396321,0.795649439002043,0.10377089123089944,118.2741448879242,True
LightGBM,headline_pool,SMOTENC,0.3609224881420509,0.005232104401009569,0.7938884045790677,0.13055495460568273,14.00134825706482,False
RandomForest,fullpool_EN,none,0.35755279890955366,0.012595641727959328,0.7810342236459198,0.1072534423098656,64.99126195907593,True
RandomForest,raw21,SMOTENC,0.35531297589786465,0.003590081176758437,0.7982410778778704,0.12057665500854076,170.96046233177185,False
RandomForest,fullpool_EN,native,0.35362016903052884,0.015168070178455659,0.7678011821599181,0.1641443785426416,64.63856482505798,True
XGBoost,headline_pool,SMOTENC,0.3497354517329623,0.005597594339992168,0.7838705584894525,0.1322079211473465,20.130563735961914,False
RandomForest,headline_pool,SMOTENC,0.3258858128663161,0.005463761942872205,0.7924461872837942,0.12726418148102409,173.68235182762146,False
