timestamp,notebook,model,feature_set,imbalance,seed,n_folds,pr_auc_mean,pr_auc_std,roc_auc_mean,pr_auc_folds,roc_auc_folds
2026-06-13T12:41:06,nb06,LogReg-EN,raw21,none,42,5,0.4056,0.008,0.8225,"[0.403072, 0.391579, 0.412273, 0.41376, 0.407477]","[0.824564, 0.817729, 0.822715, 0.82755, 0.82018]"
2026-06-13T12:41:15,nb06,LogReg-EN,raw21,class_weight,42,5,0.4041,0.0076,0.8231,"[0.402244, 0.390543, 0.410101, 0.411826, 0.405941]","[0.825554, 0.818488, 0.823207, 0.827752, 0.820545]"
2026-06-13T12:44:48,nb06,LogReg-EN,raw21,SMOTENC,42,5,0.3878,0.0053,0.8108,"[0.38708, 0.378472, 0.394321, 0.391345, 0.387648]","[0.814337, 0.806714, 0.811368, 0.812747, 0.808889]"
2026-06-13T12:44:49,nb06,LogReg-L2,raw21,none,42,5,0.4056,0.008,0.8226,"[0.403077, 0.391565, 0.412283, 0.413748, 0.407475]","[0.824579, 0.817732, 0.822718, 0.827553, 0.820182]"
2026-06-13T12:44:50,nb06,LogReg-L2,raw21,class_weight,42,5,0.4041,0.0076,0.8231,"[0.402241, 0.390539, 0.410095, 0.411822, 0.405939]","[0.825555, 0.818488, 0.823207, 0.827751, 0.820544]"
2026-06-13T12:44:52,nb06,LogReg-L2,raw21,SMOTENC,42,5,0.3878,0.0053,0.8108,"[0.387073, 0.378469, 0.394317, 0.391342, 0.387639]","[0.814326, 0.806708, 0.811368, 0.812745, 0.80888]"
2026-06-13T12:46:20,nb06,RandomForest,raw21,none,42,5,0.3948,0.005,0.8061,"[0.397836, 0.386013, 0.398546, 0.399049, 0.392313]","[0.807561, 0.801616, 0.806835, 0.810117, 0.804592]"
2026-06-13T12:47:48,nb06,RandomForest,raw21,class_weight,42,5,0.3881,0.0044,0.8046,"[0.392624, 0.379994, 0.390741, 0.389588, 0.3874]","[0.80671, 0.80076, 0.804986, 0.807714, 0.802736]"
2026-06-13T12:50:45,nb06,RandomForest,raw21,SMOTENC,42,5,0.3553,0.0036,0.7982,"[0.357152, 0.352948, 0.361564, 0.35243, 0.352471]","[0.800312, 0.795161, 0.799286, 0.800712, 0.795735]"
2026-06-13T12:50:56,nb06,LightGBM,raw21,none,42,5,0.4303,0.0081,0.8285,"[0.432025, 0.414593, 0.436158, 0.436813, 0.4318]","[0.832503, 0.823502, 0.828974, 0.831647, 0.825872]"
